GAME_DATE_EST,GAME_ID,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
2019-01-02,21800555,1610612739,1610612748,2018,1610612739,92,0.453,0.846,0.419,23,22,1610612748,117,0.512,0.765,0.516,29,47,0
2019-01-02,21800556,1610612764,1610612737,2018,1610612764,114,0.467,0.739,0.379,29,48,1610612737,98,0.421,0.615,0.323,26,50,1
2019-01-02,21800557,1610612751,1610612740,2018,1610612751,126,0.505,0.762,0.516,27,43,1610612740,121,0.529,0.704,0.435,19,41,1
2019-01-02,21800558,1610612738,1610612750,2018,1610612738,115,0.592,0.867,0.4,34,33,1610612750,102,0.476,0.714,0.304,24,34,1
2019-01-02,21800559,1610612741,1610612753,2018,1610612741,84,0.419,0.625,0.35,18,32,1610612753,112,0.579,0.722,0.423,31,41,0
2019-01-02,21800560,1610612763,1610612765,2018,1610612763,94,0.462,0.857,0.222,21,44,1610612765,101,0.434,0.591,0.4,23,42,0
2019-01-02,21800561,1610612756,1610612755,2018,1610612756,127,0.453,0.833,0.324,22,37,1610612755,132,0.541,0.759,0.458,27,44,0
2019-01-02,21800562,1610612747,1610612760,2018,1610612747,100,0.416,0.594,0.259,24,54,1610612760,107,0.381,0.645,0.226,22,64,0
2019-01-01,21800549,1610612761,1610612762,2018,1610612761,122,0.549,0.714,0.35,18,45,1610612762,116,0.433,0.793,0.281,23,43,1
2019-01-01,21800550,1610612749,1610612765,2018,1610612749,121,0.595,0.654,0.37,28,43,1610612765,98,0.38,0.762,0.364,23,43,1
2019-01-01,21800551,1610612743,1610612752,2018,1610612743,115,0.463,0.652,0.353,36,53,1610612752,108,0.452,0.722,0.407,28,43,1
2019-01-01,21800552,1610612758,1610612757,2018,1610612758,108,0.383,0.75,0.333,24,53,1610612757,113,0.433,0.867,0.281,22,56,0
2019-01-01,21800553,1610612746,1610612755,2018,1610612746,113,0.462,0.706,0.2,18,41,1610612755,119,0.483,0.697,0.462,25,55,0
2018-12-31,21800542,1610612754,1610612737,2018,1610612754,116,0.5,0.724,0.458,29,39,1610612737,108,0.432,0.684,0.406,24,53,1
2018-12-31,21800543,1610612766,1610612753,2018,1610612766,125,0.494,0.909,0.458,29,46,1610612753,100,0.413,0.737,0.286,22,48,1
2018-12-31,21800544,1610612745,1610612763,2018,1610612745,113,0.443,0.733,0.439,19,46,1610612763,101,0.463,0.633,0.24,24,39,1
2018-12-31,21800545,1610612759,1610612738,2018,1610612759,120,0.495,0.889,0.538,27,43,1610612738,111,0.489,0.7,0.324,30,40,1
2018-12-31,21800546,1610612740,1610612750,2018,1610612740,123,0.517,0.905,0.56,28,44,1610612750,114,0.462,0.826,0.321,29,39,1
2018-12-31,21800547,1610612760,1610612742,2018,1610612760,122,0.447,0.686,0.25,22,46,1610612742,102,0.419,0.765,0.368,21,49,1
2018-12-31,21800548,1610612756,1610612744,2018,1610612756,109,0.435,0.867,0.346,20,38,1610612744,132,0.548,0.813,0.5,31,44,0
2018-12-30,21800536,1610612753,1610612765,2018,1610612753,109,0.471,0.917,0.292,21,45,1610612765,107,0.424,0.913,0.258,21,51,1
2018-12-30,21800537,1610612748,1610612750,2018,1610612748,104,0.411,0.786,0.333,19,52,1610612750,113,0.404,0.806,0.333,24,49,0
2018-12-30,21800538,1610612761,1610612741,2018,1610612761,95,0.37,0.9,0.273,17,52,1610612741,89,0.413,0.889,0.35,16,44,1
2018-12-30,21800539,1610612742,1610612760,2018,1610612742,105,0.457,0.773,0.359,21,49,1610612760,103,0.43,0.667,0.237,17,39,1
2018-12-30,21800540,1610612757,1610612755,2018,1610612757,129,0.59,0.76,0.545,28,59,1610612755,95,0.354,0.704,0.186,18,36,1
2018-12-30,21800541,1610612747,1610612758,2018,1610612747,121,0.48,0.6,0.341,30,50,1610612758,114,0.484,0.75,0.382,24,45,1
